"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19741.1498025232","","","","","","","","","",
"Afghanistan","AFG","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","477.307009334445","","","","","","","","","",
"Angola","AGO","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9038758361843","464.587476912859","991.657186402864","1086.33888619704","983.662058599348","998.438198696085","1269.11335707839","993.467390026609","360.448924489906","687.046571719911","1108.33871700032","1308.27319594818","1440.26488782449","1613.82557913891","1761.34355836094","1785.90219870053","1711.96464651145","1650.88795984932","","",
"Albania","ALB","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3293.08541907499","3412.36156402326","3530.69065641895","3631.24098377447","3629.655235521","3757.19489160124","3802.02455884258","3959.54412717675","4116.21899116359","4226.51563088011","","",
"Andorra","AND","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3382.23133363849","3439.57010022586","3524.73970977161","3753.93178305566","3980.55081790282","4361.70105106784","4614.5649367978","4958.82389090909","4515.2221556702","4792.27906491821","5241.92997384836","5434.18664405299","5480.22916999138","5445.03370241782","5036.96689379402","4944.58794513863","4973.94490118062","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56921.4543227798","53877.9162503234","53357.4804998098","53698.3526832975","50451.1667759418","51310.4304829053","47149.0637907204","43350.2611303799","32564.9507615229","30537.8169423028","33881.27745769","34669.0667661876","37210.0916614615","39052.1389588397","35483.0859281142","35561.8108266905","35004.0470995186","","",
"Argentina","ARG","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","6037.9931383289","6563.97638024089","6414.7512311489","6684.15370128433","6801.40069477143","6699.54228534779","6450.53002677792","6695.19519855182","6245.67361515126","6569.12126956912","6726.84657860802","6188.4637334877","5628.14024992625","5800.63732632876","5816.58267325456","5339.88540950164","5739.80170151508","5715.41694654715","5612.70813666432","4799.20509386832","4777.38239922112","5467.23898368807","6200.88827672398","6489.00871457957","6758.58565263115","6382.88668750044","6683.98115174232","6964.11687634324","7128.54727619769","6662.9578592877","6533.387413001","6139.78308361705","5279.05957777144","5827.04784789666","5721.71551392779","6106.28791653099","7330.13516331876","8133.56926606045","8546.56997650082","7925.65188423398","8810.35921254626","9573.25219957637","9399.50533347834","9477.49153403668","9050.80663811605","9308.96047474667","8965.98928395391","9110.29320241085","","",
"Armenia","ARM","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1162.66982031609","1309.4984152303","1522.21619547537","1771.04714572934","1969.9805437206","2327.53229575381","2697.94058520404","3122.7449552642","3380.13530524858","2715.61913498745","2918.10165338306","2815.90743958402","2890.43721133689","2990.97626355247","2998.88966337261","2933.55105721767","2852.17334419371","3131.93910079916","","",
"American Samoa","ASM","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
